date,close,buy_date,buy_close,sell_date,sell_close,sell_profit,profit_average
2020-01-16,25.94,,,,,,
2020-01-17,25.76,,,,,,
2020-01-21,26.16,,,,,,
2020-01-22,25.62,,,,,,
2020-01-23,25.69,,,,,,
2020-01-24,25.0,,,,,,
2020-01-27,24.0,,,,,,
2020-01-28,23.77,,,,,,
2020-01-29,23.72,,,,,,
2020-01-30,22.97,,,,,,
2020-01-31,22.31,,,,,,
2020-02-03,22.84,,,,,,
2020-02-04,24.11,,,,,,
2020-02-05,23.9,,,,,,
2020-02-06,24.92,,,,,,
2020-02-07,23.36,,,,,,
2020-02-10,26.0,,,,,,
2020-02-11,24.23,,,,,,
2020-02-12,23.24,,,,,,
2020-02-13,22.86,,,,,,
2020-02-14,22.84,,,,,,
2020-02-18,23.53,,,,,,
2020-02-19,23.47,,,,,,
2020-02-20,23.44,,,,,,
2020-02-21,23.7,,,,,,
2020-02-24,22.9,,,,,,
2020-02-25,22.13,,,,,,
2020-02-26,21.43,,,,,,
2020-02-27,21.37,,,,,,
2020-02-28,20.42,,,,,,
2020-03-02,20.36,,,,,,
2020-03-03,20.62,,,,,,
2020-03-04,21.32,,,,,,
2020-03-05,20.33,,,,,,
2020-03-06,19.43,,,,,,
2020-03-09,16.47,,,,,,
2020-03-10,17.41,,,,,,
2020-03-11,15.37,,,,,,
2020-03-12,13.65,,,,,,
2020-03-13,13.43,,,,,,
2020-03-16,9.66,,,,,,
2020-03-17,9.01,,,,,,
2020-03-18,6.63,,,,,,
2020-03-19,7.71,,,,,,
2020-03-20,7.37,,,,,,
2020-03-23,6.85,,,,,,
2020-03-24,7.46,,,,,,
2020-03-25,7.73,,,,,,
2020-03-26,6.9,,,,,,
2020-03-27,6.18,,,,,,
2020-03-30,6.01,,,,,,
2020-03-31,5.63,,,,,,
2020-04-01,5.57,,,,,,
2020-04-02,5.02,,,,,,
2020-04-03,5.06,,,,,,
2020-04-06,6.08,,,,,,
2020-04-07,7.35,,,,,,
2020-04-08,8.12,,,,,,
2020-04-09,9.42,,,,,,
2020-04-13,8.77,,,,,,
2020-04-14,8.79,,,,,,
2020-04-15,7.71,,,,,,
2020-04-16,6.52,,,,,,
2020-04-17,6.97,,,,,,
2020-04-20,6.26,,,,,,
2020-04-21,6.02,,,,,,
2020-04-22,5.64,,,,,,
2020-04-23,5.93,,,,,,
2020-04-24,5.97,,,,,,
2020-04-27,6.74,,,,,,
2020-04-28,7.26,,,,,,
2020-04-29,7.8,,,,,,
2020-04-30,7.47,,,,,,
2020-05-01,6.84,,,,,,
2020-05-04,7.06,,,,,,
2020-05-05,6.89,,,,,,
2020-05-06,6.54,,,,,,
2020-05-07,6.47,,,,,,
2020-05-08,6.84,,,,,,
2020-05-11,6.54,,,,,,
2020-05-12,6.41,,,,,,
2020-05-13,6.11,,,,,,
2020-05-14,6.2,,,,,,
2020-05-15,6.36,,,,,,
2020-05-18,7.23,,,,,,
2020-05-19,7.44,,,,,,
2020-05-20,7.38,,,,,,
2020-05-21,7.36,,,,,,
2020-05-22,6.95,,,,,,
2020-05-26,7.45,,,,,,
2020-05-27,7.66,,,,,,
2020-05-28,7.24,,,,,,
2020-05-29,6.81,,,,,,
2020-06-01,7.14,,,,,,
2020-06-02,7.52,,,,,,
2020-06-03,8.59,,,,,,
2020-06-04,9.36,,,,,,
2020-06-05,11.16,,,,,,
2020-06-08,13.13,,,,,,
2020-06-09,11.96,,,,,,
2020-06-10,10.64,,,,,,
2020-06-11,9.16,,,,,,
